  Slice 0: train=[-0.13,2.00] μ=0.445 σ=0.667  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.2% below, 10.0% above
  Slice 1: train=[-0.13,2.00] μ=0.445 σ=0.667  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.4% below, 10.1% above
  Slice 2: train=[-0.13,2.00] μ=0.445 σ=0.667  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.2% below, 10.0% above
  Slice 3: train=[-0.13,2.00] μ=0.445 σ=0.668  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.7% below, 10.0% above
  Slice 4: train=[-0.13,2.00] μ=0.444 σ=0.668  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.3% below, 10.0% above
  Slice 5: train=[-0.13,2.00] μ=0.444 σ=0.668  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.6% below, 10.0% above
  Slice 6: train=[-0.14,2.00] μ=0.444 σ=0.669  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.1% below, 9.9% above
  Slice 7: train=[-0.16,2.00] μ=0.444 σ=0.670  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.3% below, 10.0% above
  Slice 8: train=[-0.15,2.00] μ=0.444 σ=0.670  |  gen=[nan,nan] μ=nan σ=nan  |  OOB: 57.3% below, 9.9% above
